         725212601 function calls (725086874 primitive calls) in 1232.125 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3005    0.011    0.000    0.036    0.000 base.py:594(as_immutable)
     3005    0.018    0.000    0.024    0.000 base.py:600(__init__)
     5487    0.045    0.000    0.464    0.000 base.py:634(_declarative_constructor)
        1    0.000    0.000    0.000    0.000 base.py:642(_begin_impl)
        1    0.000    0.000    0.000    0.000 base.py:66(__getitem__)
        1    0.000    0.000    0.009    0.009 base.py:679(_commit_impl)
    11111    0.064    0.000    0.091    0.000 base.py:74(__init__)
        1    0.000    0.000    0.000    0.000 base.py:793(close)
       23    0.000    0.000    0.001    0.000 base.py:83(<genexpr>)
    10456    0.062    0.000   13.774    0.001 base.py:846(execute)
    11106    0.037    0.000    0.044    0.000 base.py:89(__getattr__)
    10456    0.210    0.000   13.645    0.001 base.py:975(_execute_clauseelement)
       12    0.000    0.000    0.000    0.000 codecs.py:928(getencoder)
     7042    0.073    0.000    0.396    0.000 compiler.py:1048(visit_bindparam)
     7042    0.036    0.000    0.286    0.000 compiler.py:1117(_truncate_bindparam)
    28038    0.161    0.000    0.388    0.000 compiler.py:1130(_truncated_identifier)
     8005    0.075    0.000    0.110    0.000 compiler.py:1149(_process_anon)
     7042    0.033    0.000    0.037    0.000 compiler.py:1155(bindparam_string)
        1    0.000    0.000    0.002    0.002 compiler.py:1244(visit_alias)
        1    0.000    0.000    0.000    0.000 compiler.py:1269(get_render_as_alias_suffix)
    21023    0.043    0.000    0.054    0.000 compiler.py:1272(_add_to_result_map)
22033/21033    0.314    0.000    2.318    0.000 compiler.py:1278(_label_select_column)
6005/5004    0.252    0.000    4.484    0.001 compiler.py:1506(visit_select)
     6005    0.090    0.000    0.656    0.000 compiler.py:1643(_setup_select_stack)
6005/6004    0.175    0.000    1.263    0.000 compiler.py:1668(_compose_select_body)
     5017    0.053    0.000    4.626    0.001 compiler.py:167(__init__)
     5005    0.017    0.000    0.035    0.000 compiler.py:1777(visit_table)
       12    0.001    0.000    0.006    0.000 compiler.py:1801(visit_insert)
        1    0.000    0.000    0.001    0.001 compiler.py:1924(visit_update)
        2    0.000    0.000    0.000    0.000 compiler.py:1968(<genexpr>)
        7    0.000    0.000    0.000    0.000 compiler.py:2006(_key_getters_for_crud_column)
5019/5017    0.023    0.000    4.572    0.001 compiler.py:212(process)
    10456    0.012    0.000    0.012    0.000 compiler.py:215(__str__)
       38    0.000    0.000    0.000    0.000 compiler.py:2642(quote_identifier)
       61    0.001    0.000    0.002    0.000 compiler.py:2653(_requires_quotes)
    80159    0.150    0.000    0.272    0.000 compiler.py:2672(quote)
    21033    0.044    0.000    0.100    0.000 compiler.py:2701(format_label)
        1    0.000    0.000    0.000    0.000 compiler.py:2704(format_alias)
    20032    0.047    0.000    0.047    0.000 compiler.py:271(__init__)
       12    0.000    0.000    0.001    0.000 compiler.py:2721(format_table)
       37    0.000    0.000    0.000    0.000 compiler.py:2737(format_column)
    20022    0.016    0.000    0.016    0.000 compiler.py:280(type)
     5017    0.160    0.000    4.810    0.001 compiler.py:329(__init__)
     5017    0.062    0.000    0.194    0.000 compiler.py:438(_bind_processors)
     7036    0.012    0.000    0.132    0.000 compiler.py:441(<genexpr>)
    12059    0.037    0.000    0.120    0.000 compiler.py:442(<genexpr>)
    10498    0.090    0.000    0.090    0.000 compiler.py:455(construct_params)
     1000    0.001    0.000    0.001    0.000 compiler.py:514(default_from)
     1001    0.010    0.000    0.391    0.000 compiler.py:523(visit_grouping)
    21033    0.365    0.000    1.797    0.000 compiler.py:581(visit_label)
    28037    0.370    0.000    0.682    0.000 compiler.py:620(visit_column)
     1001    0.003    0.000    0.005    0.000 compiler.py:660(escape_literal_column)
     2002    0.018    0.000    0.555    0.000 compiler.py:735(visit_clauselist)
     6004    0.006    0.000    0.517    0.000 compiler.py:742(<genexpr>)
     6004    0.017    0.000    0.511    0.000 compiler.py:744(<genexpr>)
        1    0.000    0.000    0.000    0.000 compiler.py:793(visit_function)
        1    0.000    0.000    0.000    0.000 compiler.py:816(function_argspec)
     1000    0.014    0.000    0.424    0.000 compiler.py:863(visit_unary)
     7003    0.054    0.000    0.831    0.000 compiler.py:904(visit_binary)
     7003    0.068    0.000    0.752    0.000 compiler.py:935(_generate_generic_binary)
     1000    0.008    0.000    0.406    0.000 compiler.py:940(_generate_generic_unary_operator)
     36/1    0.001    0.000    0.073    0.073 composer.py:117(compose_mapping_node)
        1    0.000    0.000    0.000    0.000 composer.py:13(__init__)
        1    0.000    0.000    0.074    0.074 composer.py:29(get_single_node)
        1    0.000    0.000    0.074    0.074 composer.py:50(compose_document)
    218/1    0.002    0.000    0.074    0.074 composer.py:63(compose_node)
      174    0.001    0.000    0.003    0.000 composer.py:88(compose_scalar_node)
      8/1    0.000    0.000    0.072    0.072 composer.py:99(compose_sequence_node)
        9    0.000    0.000    0.000    0.000 config.py:27(__get__)
    11801    0.019    0.000    0.050    0.000 connections.py:202(string_literal)
    10456    0.059    0.000    0.322    0.000 connections.py:245(cursor)
    25757    0.050    0.000    0.223    0.000 connections.py:267(literal)
